,Company,TypeName,Inches,Ram,Memory,OpSys,Price_euros
327,Dell,1,1,2,4,1,1181.27
328,Dell,3,1,2,7,1,1499.0
329,Dell,1,4,2,12,1,1549.0
330,Dell,1,1,2,12,1,1426.66
331,Dell,3,1,2,7,1,2813.75
332,Dell,1,2,1,4,3,1089.0
333,Dell,4,7,3,6,1,603.0
334,Dell,1,1,6,3,1,439.0
335,Dell,5,7,3,15,5,295.0
336,Dell,1,1,2,4,1,1537.39
337,Dell,1,1,1,1,1,1008.52
338,Dell,1,1,1,4,3,749.01
339,Dell,1,1,3,1,1,959.0
340,Dell,2,5,1,6,1,1599.0
341,Dell,2,5,1,4,1,1949.0
342,Dell,2,2,1,4,1,879.0
343,Dell,1,1,3,3,1,617.9
344,Dell,2,5,1,4,1,1449.0
345,Dell,4,6,1,4,1,1670.0
346,Dell,3,4,2,7,1,2699.0
347,Dell,1,2,3,6,1,735.87
348,Dell,2,5,1,4,1,1399.0
349,Dell,1,1,1,4,1,797.41
350,Dell,1,1,1,4,1,1369.0
351,Dell,1,1,1,3,3,599.9
352,Dell,3,4,2,5,1,3012.77
353,Dell,1,1,1,4,1,1377.0
354,Dell,1,1,3,1,1,585.0
355,Dell,1,4,1,5,3,889.0
356,Dell,1,2,1,4,1,1279.73
357,Dell,1,1,2,22,1,1219.24
358,Dell,1,1,1,3,1,836.0
359,Dell,1,1,1,4,1,1116.99
360,Dell,1,1,1,3,3,726.0
361,Dell,6,1,1,4,1,1763.0
362,Dell,1,1,3,3,3,465.0
363,Dell,1,1,1,4,1,795.0
364,Dell,3,1,1,3,1,819.0
365,Dell,1,1,3,3,1,545.67
366,Dell,1,5,1,3,1,649.0
367,Dell,3,1,2,5,1,2051.0
368,Dell,4,5,1,3,1,839.0
369,Dell,1,1,1,4,1,767.8
370,Dell,1,1,1,3,1,955.0
371,Dell,1,2,1,4,1,1229.0
372,Dell,3,4,7,8,1,3147.37
373,Dell,1,1,2,22,1,1135.0
374,Dell,1,1,1,4,1,919.0
375,Dell,1,4,2,22,1,1299.0
376,Dell,2,5,1,4,1,1449.9
377,Dell,2,5,1,4,1,1869.0
378,Dell,3,1,2,8,1,1845.0
379,Dell,3,1,2,7,1,1479.0
380,Dell,1,1,1,4,1,1820.0
381,Dell,1,1,3,4,3,485.0
382,Dell,1,1,3,3,1,776.0
383,Dell,1,1,3,6,3,569.0
384,Dell,1,1,3,1,3,869.0
385,Dell,1,1,3,3,3,359.0
386,Dell,1,1,3,3,3,443.9
387,Dell,3,1,2,3,1,879.01
388,Dell,6,1,2,7,1,3055.0
389,Dell,1,1,2,13,1,2399.0
390,Dell,2,5,2,12,1,2240.0
391,Dell,1,1,3,3,1,614.0
392,Dell,6,1,1,3,1,1778.0
393,Dell,4,1,2,12,1,1285.0
394,Dell,1,1,3,6,1,499.0
395,Dell,1,1,3,4,1,498.9
396,Dell,4,5,1,4,1,1199.0
397,Dell,2,5,1,4,3,1099.0
398,Dell,1,1,1,4,1,745.0
399,Dell,4,1,2,12,1,1179.0
400,Dell,1,1,1,4,3,895.01
401,Dell,3,1,1,5,1,1498.0
402,Dell,1,1,1,4,1,2250.68
403,Dell,3,1,1,3,1,1199.0
404,Dell,1,1,1,4,1,1009.9
405,Dell,1,1,1,3,1,784.0
406,Dell,1,1,3,1,3,523.63
407,Dell,2,5,1,4,1,1379.0
408,Dell,1,1,3,1,4,769.15
409,Dell,2,6,1,4,4,1413.1
410,Dell,2,5,1,6,1,979.0
411,Dell,2,6,3,6,4,1166.97
412,Dell,2,6,3,1,4,1135.15
413,Dell,1,1,1,3,1,638.8
414,Dell,2,5,3,4,1,818.35
415,Dell,3,1,2,12,1,1249.26
416,Dell,1,1,3,1,3,393.49
417,Dell,1,1,1,4,1,750.0
418,Dell,2,5,2,12,1,2680.0
419,Dell,1,1,3,1,1,481.98
420,Dell,1,1,1,4,1,889.0
421,Dell,1,1,3,3,1,449.0
422,Dell,1,1,1,3,3,805.99
423,Dell,1,1,4,1,1,379.0
424,Dell,1,1,6,3,1,459.0
425,Dell,2,5,1,4,1,1629.0
426,Dell,1,1,1,3,3,805.99
427,Dell,1,1,4,1,1,379.0
428,Dell,1,1,6,3,1,459.0
429,Dell,1,1,1,7,1,1130.33
430,Dell,1,1,1,3,3,805.99
431,Dell,1,1,4,1,1,379.0
432,Dell,1,1,6,3,1,459.0
433,Dell,1,1,3,1,1,490.0
434,Dell,1,1,3,1,1,443.99
435,Dell,1,1,3,1,3,324.0
436,Dell,4,5,1,4,1,1813.0
437,Dell,1,2,3,1,1,875.0
438,Dell,4,4,2,12,1,1799.0
439,Dell,1,1,3,1,4,737.0
440,Dell,1,4,2,22,1,1396.0
441,Dell,1,1,1,3,1,469.01
442,Dell,1,1,3,3,3,521.86
443,Dell,2,5,1,4,1,1477.0
444,Dell,4,10,3,1,1,509.0
445,Dell,2,6,1,4,4,1713.37
446,Dell,1,1,1,3,1,638.99
447,Dell,4,1,1,4,1,999.0
448,Dell,3,1,1,5,1,1060.49
449,Dell,3,1,2,7,1,1329.0
450,Dell,3,1,1,11,1,899.0
451,Dell,4,5,1,4,1,1899.0
452,Dell,3,4,2,8,1,3154.0
453,Dell,2,2,1,4,1,1775.0
454,Dell,1,4,3,3,1,659.0
455,Dell,2,6,1,4,1,1472.2
457,Dell,2,2,1,4,1,1639.0
458,Dell,1,1,3,3,1,558.6
459,Dell,1,1,3,3,1,708.06
460,Dell,1,1,3,1,1,729.9
461,Dell,1,1,3,3,1,684.99
462,Dell,3,1,2,5,1,1349.0
463,Dell,1,1,1,4,1,728.0
464,Dell,1,2,1,4,1,1205.0
465,Dell,4,5,2,4,1,1649.0
466,Dell,4,5,1,12,1,2013.1
467,Dell,1,1,1,1,1,935.0
468,Dell,2,5,1,4,1,931.88
469,Dell,3,1,1,3,3,929.0
471,Dell,1,1,1,3,3,647.0
472,Dell,1,1,3,3,3,455.7
473,Dell,1,1,3,1,1,369.0
474,Dell,1,1,3,5,1,912.5
475,Dell,2,6,1,4,1,1690.0
476,Dell,2,5,1,4,1,1268.0
477,Dell,4,5,1,4,1,798.01
478,Dell,2,1,1,21,1,1298.0
479,Dell,1,1,3,3,3,465.62
480,Dell,2,5,1,4,1,1458.0
481,Dell,1,1,2,2,1,989.99
482,Dell,1,1,3,3,1,559.0
483,Dell,4,5,5,4,1,1299.0
484,Dell,4,5,1,4,1,819.0
485,Dell,2,5,2,13,1,2254.0
486,Dell,4,1,1,4,1,1094.0
487,Dell,1,1,1,4,4,1062.95
488,Dell,2,5,1,4,1,1624.0
489,Dell,1,1,1,1,1,1046.44
490,Dell,4,1,3,3,1,795.99
491,Dell,3,1,1,11,1,949.0
492,Dell,1,1,3,6,1,547.0
493,Dell,1,1,3,3,1,418.64
494,Dell,4,5,1,4,1,889.0
495,Dell,1,2,1,6,1,1119.0
496,Dell,1,1,1,3,1,749.0
497,Dell,1,1,3,1,1,599.0
498,Dell,4,1,5,12,1,1299.0
499,Dell,4,1,1,4,1,1049.0
500,Dell,3,4,7,7,1,2800.0
502,Dell,4,5,2,12,1,1899.0
503,Dell,3,4,7,7,1,3149.0
504,Dell,1,1,3,1,1,825.0
505,Dell,1,1,1,4,1,800.0
506,Dell,2,5,1,6,1,899.0
507,Dell,2,5,1,4,1,1379.0
508,Dell,1,1,1,4,1,870.0
509,Dell,1,5,3,6,1,689.0
510,Dell,1,1,1,2,1,759.0
511,Dell,1,1,3,4,3,598.9
512,Dell,1,1,1,27,1,970.9
513,Dell,3,1,1,3,1,999.0
514,Dell,2,5,1,4,1,1841.85
515,Dell,1,1,1,2,1,557.37
516,Dell,1,2,1,4,1,1427.0
517,Dell,1,2,1,6,1,740.0
518,Dell,6,1,1,4,1,2408.0
519,Dell,2,5,1,4,1,1649.0
520,Dell,4,1,1,3,1,819.0
521,Dell,1,1,1,3,1,675.0
522,Dell,1,4,1,5,1,1085.0
523,Dell,6,4,2,4,1,2884.86
524,Dell,1,1,1,12,1,1262.0
525,Dell,1,1,3,3,1,586.6
526,Dell,1,1,1,4,1,1829.0
527,Dell,1,1,1,4,1,899.0
528,Dell,2,2,1,12,1,1680.0
529,Dell,4,5,1,4,1,869.01
530,Dell,3,1,2,5,1,1349.0
531,Dell,6,1,2,12,1,2338.0
532,Dell,1,1,2,12,1,2027.42
533,Dell,1,1,3,3,3,428.0
534,Dell,2,1,1,3,1,663.0
535,Dell,1,1,1,3,1,539.95
536,Dell,1,2,1,4,1,1179.0
537,Dell,3,1,1,4,1,879.0
538,Dell,1,1,7,13,1,2639.0
539,Dell,2,1,1,5,1,1049.0
540,Dell,1,1,1,27,1,985.0
541,Dell,1,1,1,5,1,855.0
542,Dell,1,1,3,4,1,749.0
543,Dell,6,1,2,4,1,1975.0
544,Dell,1,1,2,3,1,859.01
545,Dell,1,1,1,4,1,1142.75
546,Dell,1,1,1,5,1,979.0
547,Dell,1,1,3,1,3,274.9
548,Dell,4,7,3,1,1,479.0
549,Dell,1,4,1,3,1,2046.0
550,Dell,1,1,1,5,1,844.0
551,Dell,2,1,1,4,1,1096.16
552,Dell,2,5,2,13,1,2499.0
553,Dell,2,2,1,4,3,1099.0
554,Dell,1,1,1,22,1,1142.4
555,Dell,3,1,1,5,1,1159.0
557,Dell,3,4,2,7,1,2456.34
558,Dell,2,5,1,4,1,1579.0
559,Dell,2,1,2,28,1,1607.96
560,Dell,2,5,1,4,1,955.0
561,Dell,6,1,1,32,1,1993.0
562,Dell,1,1,2,12,1,1899.0
563,Dell,1,1,1,3,1,565.0
564,Dell,4,1,1,4,1,799.0
565,Dell,6,1,1,1,1,1369.0
566,Dell,6,1,1,4,1,2712.0
567,Dell,3,1,1,4,1,1195.0
568,Dell,2,2,1,4,1,1149.0
569,Dell,4,5,2,12,1,1279.0
570,Dell,1,1,1,4,3,677.35
571,Dell,2,5,1,4,1,949.0
572,Dell,1,1,1,4,3,778.87
573,Dell,1,1,1,4,3,735.07
574,Dell,1,1,5,3,1,713.07
575,Dell,1,4,1,5,3,1099.0
576,Dell,6,1,1,4,1,2135.0
577,Dell,1,1,2,4,3,899.0
578,Dell,1,1,3,3,1,657.0
579,Dell,1,2,1,4,1,859.0
580,Dell,1,4,1,5,1,1142.0
581,Dell,1,1,3,1,1,309.0
582,Fujitsu,1,1,1,3,1,739.0
583,Fujitsu,1,1,1,4,1,799.0
584,Fujitsu,1,1,3,4,1,649.0
588,HP,4,5,1,4,1,2277.0
589,HP,1,1,6,4,1,619.0
590,HP,2,5,1,4,1,1349.0
591,HP,1,2,1,4,1,1049.26
592,HP,2,2,1,4,4,1449.0
593,HP,1,1,3,6,2,299.0
594,HP,2,2,1,12,1,1468.0
595,HP,1,1,1,4,1,1228.99
596,HP,1,2,3,4,1,1205.0
597,HP,2,2,3,4,1,1082.0
598,HP,1,2,3,4,1,1099.99
599,HP,1,2,3,1,1,779.0
600,HP,1,4,6,2,1,699.0
601,HP,1,1,1,4,1,539.0
602,HP,1,1,3,1,1,742.0
603,HP,1,5,1,4,1,1189.0
604,HP,1,2,3,1,1,684.0
605,HP,2,6,1,4,1,1349.0
606,HP,6,4,2,4,4,4389.0
607,HP,1,1,1,3,1,716.0
608,HP,1,1,1,4,1,1900.0
609,HP,1,4,6,2,1,655.01
610,HP,2,2,1,12,1,2089.0
